item_id,similar_items,similar_scores
4209,4717 1672 3822 7106 13669 4986 8230 1268 14690 6225,0.551206 0.451288 0.425795 0.312643 0.304590 0.295340 0.284395 0.266919 0.262710 0.260764
4210,6381 6426 4578 4912 4718 13421 4891 9013 7459 1276,0.645210 0.562275 0.549417 0.459797 0.386656 0.316176 0.291237 0.284225 0.263004 0.232179
4211,13883 4182 6373 14113 14794 7511 8498 6962 7309 5914,0.433869 0.387174 0.375872 0.372688 0.368318 0.367070 0.367067 0.364258 0.315041 0.296820
4212,6151 6152 3792 6154 5181 3322 7902 7918 3030 8352,0.733396 0.722116 0.611968 0.590645 0.503380 0.465789 0.409625 0.409625 0.409625 0.409625
4213,10301 9318 6634 11070 11803 10298 5014 6038 6022 14713,0.980820 0.731031 0.724551 0.714555 0.695768 0.689472 0.668211 0.659162 0.658489 0.650075
4214,5422 5893 9162 7918 8856 9711 7502 6050 3030 12160,1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
4215,11462 5017 15229 14688 4004 3574 7447 14282 9090 12158,0.910747 0.710959 0.568247 0.519069 0.437189 0.249968 0.249968 0.249968 0.156989 0.133909
4216,4228 4194 4181 3711 4247 3203 8792 2754 2941 10908,0.581962 0.533989 0.502850 0.468035 0.461045 0.428384 0.338534 0.294106 0.291610 0.290569
4217,1255 5437 6390 6697 14869 12605 6342 11736 13157 8962,0.622186 0.622186 0.447886 0.330646 0.314398 0.263370 0.246251 0.245018 0.244226 0.239167
4218,6088 6968 59 54 5081 2457 4175 9888 7840 2189,0.485346 0.423499 0.334143 0.319751 0.314508 0.290537 0.275946 0.275218 0.271526 0.268090
4219,852 11914 5035 5027 1238 811 12022 2784 6043 2756,0.573957 0.569787 0.547075 0.535148 0.520126 0.513381 0.480858 0.477154 0.452024 0.446493
4220,15073 658 1952 762 11070 712 706 4703 9068 761,0.595807 0.566075 0.493508 0.430799 0.386025 0.360537 0.355081 0.338171 0.322928 0.316260
4221,4496 8468 8431 6178 597 3113 5434 4737 14730 5053,0.521524 0.315608 0.307128 0.277767 0.266708 0.262522 0.262323 0.259027 0.259027 0.258864
4222,5724 7412 5972 4 6029 128 4248 6821 1447 4825,0.857269 0.747173 0.641021 0.617492 0.600825 0.562147 0.537245 0.532438 0.489769 0.471061
4223,1959 1503 4764 8818 14312 4339 12803 4101 9711 9162,0.598423 0.476893 0.368166 0.357059 0.313023 0.299113 0.299113 0.291857 0.276918 0.276918
4224,3039 3705 4488 10452 5014 13456 7419 14088 12309 9396,0.385315 0.383332 0.382727 0.366184 0.365868 0.333880 0.319042 0.309557 0.307529 0.262337
4225,4226 11018 9914 8349 5474 4198 5642 9800 3145 4202,0.474642 0.408079 0.384949 0.377720 0.341909 0.322012 0.295248 0.288349 0.288176 0.269799
4226,11018 5474 4198 4207 862 4202 4225 7506 2161 13604,0.859762 0.720351 0.628938 0.585704 0.523928 0.521343 0.474642 0.466570 0.466570 0.440335
4227,5993 775 253 7697 3705 9299 6025 3015 4762 6910,0.542111 0.527748 0.526621 0.517690 0.514692 0.484743 0.478839 0.457399 0.445594 0.433136
4228,3203 3711 4194 4216 10908 1569 5928 7502 5893 761,0.736103 0.728185 0.700816 0.581962 0.499292 0.494214 0.367979 0.367979 0.367979 0.367979
4229,2073 7021 9478 6260 2072 3765 3549 8297 3740 2590,0.892698 0.891649 0.832299 0.769754 0.749504 0.749504 0.735013 0.668176 0.655933 0.614221
4230,128 6821 8662 3042 8865 1981 6030 4000 770 8762,0.647348 0.647093 0.529852 0.520615 0.519200 0.474565 0.474026 0.457641 0.427004 0.417113
4231,11957 8971 11758 9694 8857 3191 1520 7735 7110 813,0.455703 0.322607 0.315487 0.308757 0.298036 0.297498 0.290135 0.270357 0.265022 0.258111
4232,6178 128 5053 6821 4182 133 10886 3042 8865 8468,0.579249 0.460306 0.450040 0.435978 0.391976 0.375696 0.374438 0.370191 0.369184 0.353464
4233,9306 2937 3250 11097 367 8948 5509 1831 11161 4768,0.483539 0.481769 0.457989 0.385313 0.385313 0.385313 0.373605 0.356998 0.356998 0.356998
4234,12800 10639 12057 4571 13317 7022 12245 12531 4408 8044,0.625084 0.370014 0.369596 0.351020 0.341561 0.331084 0.315056 0.309269 0.307843 0.307357
4235,3712 3258 2761 5541 8704 3476 12021 4821 13626 9309,0.818897 0.818897 0.684523 0.660451 0.627958 0.617411 0.553243 0.549380 0.547100 0.544464
4236,3478 1974 8447 9070 4238 8653 3207 6956 3698 572,0.716916 0.650740 0.599309 0.595539 0.575880 0.575880 0.545641 0.475170 0.469622 0.437547
4237,4112 6861 1219 1208 749 7486 4242 1729 2025 773,0.736304 0.676651 0.509712 0.487016 0.325992 0.289224 0.282430 0.237862 0.236546 0.228598
4238,8653 9070 3207 3698 6956 1570 1970 4483 3711 10309,1.000000 0.966989 0.947491 0.815487 0.771542 0.733577 0.722213 0.700849 0.697258 0.687183
4239,15270 10374 1566 10483 2759 12043 7510 9090 4204 5030,1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.778185 0.671812 0.634506
4240,5214 418 5064 3797 1408 5181 6962 6976 6918 3633,0.532154 0.450327 0.394981 0.381355 0.375100 0.344297 0.320193 0.312540 0.304123 0.283188
4241,543 491 3212 3474 3478 1974 8688 3681 8940 1407,0.451062 0.357902 0.314164 0.271498 0.249729 0.237762 0.234139 0.231194 0.230677 0.228664
4242,11944 4112 3253 12513 3098 4237 3099 3404 15069 1208,0.393772 0.383578 0.365721 0.352620 0.287201 0.282430 0.275465 0.260966 0.258717 0.253711
4243,11707 7823 5090 2047 9248 3577 10567 1959 9067 5737,0.620177 0.565116 0.543462 0.447609 0.430142 0.427528 0.423901 0.369640 0.358654 0.291568
4244,7240 212 6027 6197 505 4885 11417 13953 3702 3724,0.575742 0.507974 0.493696 0.434702 0.399041 0.390385 0.378118 0.354073 0.339282 0.304167
4245,5703 66 4004 4925 11002 11350 5081 5103 5079 5102,0.540901 0.437090 0.416804 0.399036 0.192059 0.173275 0.000000 0.000000 0.000000 0.000000
4246,1192 15054 3617 3616 9066 4782 8970 12419 11725 3341,0.550428 0.376330 0.341784 0.329193 0.307604 0.294085 0.292451 0.285404 0.284722 0.272935
4247,4181 8065 4216 2941 6441 15270 2759 1566 12043 7510,0.594616 0.552321 0.461045 0.418607 0.377272 0.337799 0.337799 0.337799 0.337799 0.337799
4248,5724 4222 7412 5972 4 6039 6029 770 4829 128,0.548696 0.537245 0.478229 0.422133 0.395226 0.385247 0.384559 0.381562 0.374471 0.371596
4249,6053 457 789 5051 4182 878 5050 2021 7490 5042,0.901226 0.811286 0.632019 0.617166 0.578578 0.576168 0.573456 0.561766 0.376449 0.346602
4250,2789 5031 15190 1797 2239 15123 257 7232 120 3795,0.401867 0.326069 0.324906 0.314349 0.310688 0.284455 0.280579 0.273033 0.268060 0.264430
4251,885 11483 10353 12948 11358 11357 1380 7796 5247 4971,0.720706 0.677549 0.272633 0.233128 0.232762 0.214925 0.206765 0.197685 0.196079 0.189912
4252,9582 7833 11951 783 8745 9035 5959 7428 4932 5068,0.429348 0.411428 0.394983 0.344499 0.319291 0.311266 0.311202 0.287017 0.287017 0.287017
4253,12388 15055 7145 13807 6569 9263 10959 13934 14377 8274,0.883873 0.836266 0.830465 0.713708 0.454237 0.376334 0.348551 0.306355 0.287739 0.287739
4254,14129 8411 2835 11932 2107 4993 971 11158 164 133,0.377645 0.377645 0.306674 0.304426 0.302070 0.290335 0.244993 0.238771 0.226600 0.226388
4255,26 7992 3765 2072 3549 8297 3740 2590 3243 3527,0.996801 0.776134 0.514261 0.514261 0.504318 0.501313 0.450058 0.421439 0.411508 0.411048
4256,2529 13215 14148 2273 6581 14443 14575 14201 2499 2568,0.459954 0.443597 0.431576 0.424389 0.378022 0.378022 0.378022 0.378022 0.373370 0.370927
4257,2311 14261 12053 11457 3372 14637 6778 6039 3651 2263,0.424488 0.424488 0.379521 0.378647 0.372253 0.349844 0.334471 0.314314 0.275178 0.262672
4258,7659 827 11610 6083 12611 658 7284 2192 8994 8376,0.370297 0.291184 0.284889 0.274816 0.257370 0.254376 0.253821 0.242388 0.242336 0.242039
4259,59 4179 7877 7516 8573 5162 10920 2228 4197 214,0.546298 0.470897 0.449392 0.430249 0.350569 0.349123 0.349123 0.349123 0.349123 0.349123
4260,5993 775 12705 5704 3930 6910 499 3033 659 757,0.421132 0.409975 0.348963 0.348963 0.345209 0.336476 0.324727 0.323834 0.323431 0.318338
4261,4163 11374 7238 1604 8962 12847 2368 1609 1831 11161,0.548881 0.476266 0.387586 0.383369 0.375696 0.329317 0.328130 0.278937 0.265106 0.265106
4262,4757 14839 5593 5552 6634 9318 10298 11070 10301 4213,0.784315 0.697274 0.638457 0.503694 0.477072 0.473372 0.473077 0.470490 0.469607 0.460600
4263,9296 4183 2318 12420 5082 11158 3986 7965 14278 7311,0.665224 0.567886 0.473804 0.429595 0.412868 0.355351 0.277534 0.265820 0.258694 0.254960
4264,3310 1418 3710 3014 1412 1586 6014 1427 4238 8653,0.860185 0.843902 0.826898 0.789625 0.785556 0.556811 0.371911 0.353612 0.346302 0.346302
4265,5971 14842 2994 9565 1201 5226 4482 8863 3681 7508,0.518716 0.505769 0.462418 0.407475 0.376070 0.348502 0.336922 0.299196 0.290000 0.288865
4266,14509 14874 4482 9550 9833 14432 13384 7027 3941 8437,0.408556 0.332287 0.327229 0.275109 0.269907 0.253540 0.239444 0.233201 0.229307 0.228627
4267,8042 21 4871 7381 8120 2323 7163 14874 11997 11217,0.461104 0.418550 0.382504 0.354709 0.342120 0.334188 0.321161 0.310647 0.295228 0.286294
4268,7420 1565 9273 6374 1564 4213 3248 6634 9318 10298,0.970036 0.883099 0.838874 0.828083 0.793646 0.292081 0.289072 0.288043 0.285809 0.285630
4269,8799 1984 11444 7414 9298 5066 5117 4822 1409 1097,0.880089 0.606803 0.577679 0.552192 0.513042 0.511400 0.462866 0.462782 0.443001 0.442619
4270,3136 5015 8458 6969 4849 3829 3102 8756 15147 9300,0.379810 0.350541 0.325627 0.275473 0.267794 0.261310 0.252340 0.247164 0.246928 0.246563
4271,879 8403 1047 871 868 12084 867 1901 866 869,0.785657 0.779670 0.771910 0.747540 0.702156 0.659543 0.657641 0.585459 0.572896 0.562156
4272,2985 12464 3170 3434 8141 8306 6400 3661 233 13695,0.460072 0.402175 0.352685 0.329469 0.323066 0.322260 0.316438 0.307853 0.277299 0.274492
4273,710 709 5886 11984 12141 10043 13669 6400 6397 8821,0.483231 0.294208 0.275809 0.233868 0.222026 0.216394 0.211242 0.208339 0.206187 0.200644
4274,2295 4809 2284 5201 10643 5920 77 9823 5199 7394,0.308115 0.285670 0.257459 0.253529 0.249845 0.218248 0.203612 0.199315 0.199315 0.198461
4275,10055 950 7987 11355 10621 6656 569 1980 9970 11596,0.304816 0.284425 0.262925 0.259996 0.244146 0.239984 0.230163 0.227113 0.219255 0.215536
4276,4392 2900 3988 15172 11875 11873 5282 10154 12459 6769,0.707673 0.639566 0.512491 0.459180 0.430516 0.420213 0.415554 0.410564 0.408165 0.402248
4277,8028 876 1931 9285 12654 8080 4505 2415 4292 3241,0.473114 0.396913 0.361627 0.342913 0.303413 0.272676 0.265849 0.253887 0.244229 0.238609
4278,14693 10859 6313 664 6354 5937 4954 10107 4438 11261,0.357630 0.302703 0.301305 0.290149 0.284233 0.272284 0.267252 0.262897 0.262683 0.259679
4279,3811 3966 5003 9795 12787 7769 1575 6450 4914 13854,0.365040 0.358638 0.349006 0.337347 0.323575 0.313170 0.305841 0.295865 0.285329 0.284606
4280,11029 8168 921 5442 7988 6957 12048 1660 12793 7623,0.507347 0.346947 0.339412 0.323216 0.318449 0.296191 0.259166 0.246234 0.243095 0.243094
4281,3811 10881 2729 6629 2983 12623 8687 8232 11594 2645,0.409941 0.381981 0.305108 0.265334 0.256452 0.256264 0.249922 0.245628 0.241322 0.238608
4282,1407 8961 8714 4467 1785 8895 3681 8445 4933 1442,0.366648 0.333047 0.325154 0.305404 0.298383 0.295629 0.289147 0.287499 0.276476 0.276453
4283,12522 12523 15019 3750 1362 103 15180 8556 3471 12691,0.540404 0.495109 0.470370 0.343840 0.288027 0.274117 0.247979 0.228190 0.217188 0.206658
4284,202 2415 5791 3407 5792 2457 6074 10403 5990 14839,0.894461 0.821075 0.682633 0.673025 0.510879 0.501524 0.488062 0.255401 0.226446 0.217353
4285,9175 6404 5177 8181 7496 12562 10633 8344 5103 14169,0.590584 0.514459 0.446305 0.403499 0.383952 0.378101 0.355152 0.327334 0.290184 0.253566
4286,10789 2218 7551 4032 7089 5064 3785 10566 1572 2252,0.441396 0.374395 0.342889 0.316568 0.311306 0.301680 0.296192 0.273443 0.267321 0.255334
4287,14475 5419 13369 14941 867 6576 9319 8272 14162 14709,0.712553 0.535630 0.500372 0.397849 0.361336 0.358312 0.356120 0.327600 0.326458 0.300213
4288,14780 1020 10983 8610 11412 7168 4208 3201 5270 14349,0.563448 0.401262 0.389981 0.365890 0.340443 0.291189 0.273183 0.268471 0.237269 0.222596
4289,10134 12543 1658 12768 1343 5817 12777 12034 9975 12589,0.461713 0.382504 0.336551 0.315591 0.313590 0.312977 0.311001 0.305642 0.303333 0.301528
4290,7970 10213 7256 8451 10133 4862 15014 12277 13446 281,0.361591 0.339737 0.282846 0.272013 0.247493 0.241767 0.233197 0.219159 0.217856 0.209674
4291,11094 9777 11008 14716 6348 8677 1598 9154 7479 6108,0.246652 0.244181 0.230388 0.226151 0.220746 0.198822 0.197929 0.197104 0.196696 0.196656
4292,3255 876 10418 8028 8763 4505 1639 3555 8446 2415,0.459931 0.398222 0.291111 0.273714 0.270774 0.266726 0.266317 0.257025 0.257014 0.254724
4293,3738 14517 9320 8169 3530 14693 312 12222 11876 140,0.419066 0.338240 0.327495 0.269153 0.260092 0.255662 0.251990 0.242921 0.242921 0.242921
4294,8570 5612 7724 15280 9579 1083 6406 7775 15261 5950,0.389484 0.381763 0.326419 0.324727 0.319040 0.304388 0.303386 0.295025 0.262282 0.259891
4295,7917 9518 8177 9490 223 8285 5026 9485 4880 12862,0.292995 0.286394 0.285841 0.281537 0.258040 0.253962 0.244660 0.238903 0.236861 0.227662
4296,902 2850 12247 7624 10830 1632 903 7679 10593 9860,1.000000 0.320442 0.292202 0.279703 0.265045 0.264633 0.264633 0.257586 0.255430 0.247745
4297,2990 1054 4147 7042 1080 4977 3286 5210 2722 1085,0.688041 0.650236 0.637305 0.628340 0.615896 0.576616 0.573959 0.572606 0.547869 0.546663
4298,6679 9092 10784 6504 13196 5104 1436 5708 9172 557,0.424675 0.414475 0.380334 0.379538 0.352552 0.336338 0.329306 0.327296 0.324809 0.312893
4299,1633 5206 456 2081 2080 4552 11183 9604 724 3144,0.433414 0.399429 0.364244 0.314606 0.307872 0.291680 0.287650 0.278940 0.276626 0.267072
4300,5190 14029 14238 14895 14927 14976 15153 14449 13993 14500,0.869317 0.722985 0.685683 0.673248 0.610256 0.584352 0.554628 0.484328 0.443483 0.409883
4301,14548 4621 4430 14923 12850 14130 14480 10569 14131 14474,0.353059 0.349447 0.332765 0.330126 0.313879 0.312584 0.310536 0.291567 0.289858 0.286713
4302,2501 5070 10293 7726 2552 8619 5750 6917 9922 9709,0.321378 0.282178 0.265580 0.257853 0.256918 0.237184 0.235866 0.226381 0.221644 0.219390
4303,7937 11375 11726 7379 14492 1698 13266 15083 8547 715,0.380229 0.353850 0.348103 0.346717 0.313584 0.311469 0.305489 0.300689 0.292064 0.289239
4304,5495 3889 5978 5496 12344 5979 1644 842 8433 5068,0.631799 0.396182 0.388689 0.357592 0.357592 0.343420 0.289821 0.218826 0.215102 0.215102
4305,4199 8458 11699 6969 4888 10984 6865 2344 4270 3581,0.280549 0.277438 0.274179 0.271545 0.264913 0.254082 0.248005 0.244704 0.238498 0.235098
4306,9422 4314 2009 4311 3486 15237 3581 3757 346 14764,0.514774 0.484769 0.444930 0.437761 0.405497 0.312793 0.297600 0.262606 0.241055 0.229612
4307,1507 8036 8959 7730 12308 13630 13766 1839 4961 8134,0.355339 0.330352 0.284537 0.274139 0.266523 0.250405 0.243172 0.237870 0.229239 0.225745
4308,2091 10832 4408 2003 954 6347 12800 10659 9483 2359,0.398507 0.341666 0.335524 0.302804 0.287566 0.275686 0.273767 0.255020 0.251144 0.247225
4309,7018 8244 7019 6501 7794 12889 7790 5485 731 14338,0.383104 0.342925 0.318882 0.301568 0.262015 0.239974 0.232120 0.226314 0.221538 0.219502
4310,4740 6514 3676 2581 4405 954 2330 5128 14516 10338,0.367430 0.355243 0.354743 0.326853 0.319955 0.308315 0.308191 0.306053 0.283435 0.279838
4311,3486 2009 9422 4314 14339 4306 12627 9059 12060 9412,0.847465 0.729213 0.606523 0.537546 0.493072 0.437761 0.393639 0.374199 0.369798 0.365736
4312,4236 3478 1974 7256 1406 8447 10135 13226 13559 572,0.436518 0.422533 0.402283 0.397981 0.379937 0.353218 0.347640 0.333050 0.313020 0.308090
4313,2721 7927 3509 4487 5943 12305 4500 74 4469 5823,0.620688 0.593834 0.562053 0.542235 0.532706 0.489384 0.482618 0.436825 0.434559 0.420338
4314,9422 15237 2009 4311 3486 4306 12961 4434 15103 8953,0.671653 0.645241 0.546350 0.537546 0.497927 0.484769 0.403880 0.380697 0.358956 0.317607
4315,12317 4316 12543 9193 6110 5531 8406 6708 2710 5002,0.491828 0.415799 0.406530 0.370798 0.370512 0.358307 0.355944 0.355385 0.325108 0.314936
4316,5531 4315 12317 13075 6188 1852 11348 1000 11723 1004,0.486541 0.415799 0.339229 0.336374 0.335657 0.312931 0.272029 0.268644 0.259073 0.244853
4317,7080 560 11001 1013 14116 7062 1714 9631 11234 14154,0.341722 0.315640 0.252880 0.251097 0.245692 0.211288 0.208456 0.205295 0.203083 0.198267
4318,193 458 13474 5236 4866 8722 61 6896 2551 13042,0.437373 0.375762 0.329650 0.312717 0.285969 0.285969 0.285969 0.285969 0.285969 0.285969
4319,11699 9878 4374 10386 10737 2340 597 4945 1029 10984,0.449347 0.406910 0.362499 0.336462 0.331562 0.327691 0.312069 0.291296 0.290833 0.289705
4320,1251 5789 4001 11301 2588 8280 7506 2161 13604 4327,0.606154 0.553948 0.473573 0.466534 0.459180 0.424636 0.355853 0.355853 0.335843 0.318128
4321,3386 4780 4778 9033 442 3344 7989 9463 4323 4774,0.817111 0.675634 0.641699 0.549446 0.531632 0.529315 0.521011 0.498600 0.489366 0.472980
4322,3244 732 3024 12128 6021 11005 3715 14388 8411 14129,0.378868 0.348565 0.243798 0.231294 0.226969 0.226561 0.225084 0.224141 0.223759 0.223759
4323,3344 3386 9463 4774 4321 4780 7989 9033 442 4778,0.683531 0.611364 0.597972 0.499989 0.489366 0.459347 0.407903 0.398863 0.383924 0.369766
4324,6834 15023 4374 2332 2325 6968 8724 4994 8472 3253,0.418174 0.367839 0.360734 0.342523 0.286381 0.267090 0.248993 0.239459 0.223084 0.219862
4325,3232 7192 4833 3382 8751 8554 5055 3353 5821 3300,0.600387 0.522403 0.463231 0.430330 0.428743 0.386852 0.375554 0.309400 0.307855 0.306132
4326,325 6929 1045 4327 4423 593 1027 6678 2345 13546,0.692660 0.657590 0.552468 0.546721 0.521446 0.481716 0.477893 0.430523 0.393399 0.386239
4327,325 4326 1045 1031 6929 6678 2345 13546 1027 593,0.588686 0.546721 0.538348 0.502175 0.474359 0.466614 0.457305 0.411795 0.405721 0.395897
4328,73 9776 1866 1009 10857 1799 5656 13984 13572 1824,0.400326 0.286370 0.278676 0.250823 0.249385 0.235338 0.224531 0.223294 0.221725 0.218134
4329,9785 9788 14374 11003 14985 4791 6941 11123 14124 11122,0.714675 0.637561 0.540667 0.482730 0.421031 0.416986 0.405228 0.403930 0.399581 0.388455
4330,2364 14015 13717 6353 403 404 13576 13188 13007 14084,0.682286 0.557257 0.536488 0.521352 0.520027 0.520027 0.507797 0.506815 0.475086 0.473374
4331,1828 5863 1825 2879 9540 12914 1887 2301 3414 8822,0.578634 0.467280 0.416046 0.392589 0.330038 0.319929 0.312503 0.298819 0.271495 0.265117
4332,9620 8106 7050 4191 8870 11608 13375 1891 5398 5429,0.354094 0.334582 0.288986 0.288986 0.284051 0.265204 0.258413 0.255683 0.223150 0.218196
4333,8003 7609 10001 9831 13131 7436 10003 7610 5947 13177,0.753144 0.596513 0.530521 0.504445 0.504445 0.487414 0.486172 0.474176 0.417175 0.290553
4334,15086 11262 10141 12530 12499 11522 8128 14152 13941 12651,0.375582 0.353236 0.340715 0.324342 0.321791 0.292091 0.262815 0.245295 0.243138 0.242928
4335,10634 9431 3839 1393 2222 11285 5094 2007 410 9869,0.678049 0.605649 0.528683 0.507883 0.507883 0.500661 0.457840 0.425513 0.397419 0.387303
4336,4522 1904 4104 15160 4540 11757 4445 12294 6732 4727,0.605555 0.605555 0.605555 0.605555 0.605555 0.605555 0.605452 0.556991 0.544747 0.543067
4337,12476 3479 4177 15042 5153 10546 9298 6275 6558 5666,0.522337 0.522337 0.437460 0.363301 0.322413 0.304405 0.275786 0.268945 0.253536 0.239346
4338,9213 2731 3425 5352 9828 231 15262 7770 2845 13404,0.544681 0.479209 0.334652 0.332175 0.311018 0.305114 0.300802 0.294449 0.278809 0.277786
4339,12803 3615 11849 4469 14511 11732 14567 11455 2020 11733,1.000000 0.807914 0.605905 0.500331 0.467323 0.450495 0.405060 0.402304 0.402304 0.402242
4340,14003 249 3920 2784 14504 4114 2772 13921 3335 13825,0.439497 0.400938 0.400241 0.397813 0.370287 0.364360 0.359149 0.352471 0.342510 0.324266
4341,7914 577 991 1296 6519 2215 8284 6322 98 1963,0.616738 0.446658 0.390317 0.350532 0.336983 0.329705 0.322430 0.316339 0.314530 0.313531
4342,1374 7798 14451 12855 4638 9947 5348 2187 781 8872,0.623438 0.457809 0.332581 0.329571 0.319891 0.312045 0.303985 0.290515 0.290352 0.285544
4343,12557 7356 11693 1265 3238 11637 7721 14420 5963 145,0.635139 0.624337 0.354727 0.346689 0.319498 0.273399 0.254483 0.252370 0.230695 0.226004
4344,2485 8523 12515 3826 186 6140 3329 13434 3217 2484,0.431408 0.431408 0.418061 0.410757 0.407635 0.399461 0.378032 0.364574 0.361925 0.353053
4345,12996 2219 14326 1871 10358 11024 1961 7968 4816 8283,0.363912 0.322555 0.307574 0.304589 0.302678 0.281324 0.277627 0.275691 0.272505 0.263669
4346,4153 3648 5043 7491 5540 8819 6676 3645 9203 7592,0.758837 0.758837 0.710391 0.598426 0.541621 0.532194 0.526187 0.520999 0.263932 0.182010
4347,3979 12277 6645 84 8170 8430 6924 9029 7437 14731,0.468232 0.380302 0.377721 0.342719 0.314528 0.242643 0.239226 0.239226 0.239226 0.239226
4348,12108 8098 7442 8302 13923 5044 8312 15207 3552 2037,0.739466 0.612239 0.594266 0.576664 0.568508 0.550405 0.358417 0.316700 0.250519 0.245985
4349,3985 11673 6215 8718 7291 2942 5062 10571 3270 6676,0.467932 0.430830 0.342499 0.327073 0.295231 0.294012 0.260280 0.252047 0.246216 0.240019
4350,2155 5361 6428 11189 2787 11208 9239 578 8445 5104,0.301273 0.292464 0.280851 0.265704 0.264012 0.257384 0.256045 0.255458 0.244415 0.241075
4351,10330 13753 2927 8845 2675 11871 3304 581 10277 1108,0.415091 0.333612 0.316826 0.305367 0.292581 0.288221 0.281344 0.275940 0.273478 0.269580
4352,8078 7100 10096 3436 982 9173 11659 5170 7070 3913,0.474901 0.363475 0.342377 0.284658 0.277818 0.259213 0.230336 0.228426 0.227931 0.225649
4353,7516 4179 5165 6051 6023 1233 10920 4197 5928 5893,0.541646 0.494892 0.474030 0.474030 0.474030 0.449845 0.449845 0.449845 0.449845 0.449845
4354,14984 14108 10369 4355 10708 1206 14320 2133 14264 12015,0.841494 0.689820 0.661459 0.656818 0.623857 0.611222 0.566898 0.560744 0.476372 0.453186
4355,4354 14984 14108 10369 1206 10708 11973 14320 8867 2133,0.656818 0.638089 0.523077 0.494859 0.449971 0.443070 0.430096 0.423523 0.418124 0.398247
4356,3892 10885 7700 13908 12818 1741 11270 5850 13354 3394,0.614981 0.502786 0.396813 0.364683 0.316756 0.288430 0.288411 0.285895 0.271110 0.226034
4357,11567 3526 7349 12345 13295 1173 7260 7352 2587 2654,0.451138 0.373784 0.373702 0.358407 0.358407 0.347484 0.347184 0.323997 0.316825 0.310654
4358,1222 14667 11074 3874 10011 4633 5276 3886 7936 1061,0.403958 0.393097 0.321741 0.316090 0.303420 0.248592 0.231430 0.225497 0.206752 0.205266
4359,953 943 935 6772 2857 952 933 2856 7370 10609,0.786717 0.658193 0.653467 0.505827 0.399026 0.383980 0.377290 0.358919 0.321273 0.317834
4360,5982 2859 683 383 12941 943 4359 935 953 14814,1.000000 0.722369 0.651023 0.621102 0.316711 0.270095 0.269790 0.268156 0.253837 0.238449
4361,12869 14188 14186 10195 12985 5426 6398 12214 14191 8353,0.446362 0.316201 0.304191 0.288671 0.283684 0.277455 0.277455 0.275763 0.272549 0.260925
4362,9294 10197 1657 3119 12215 13284 12665 4767 6304 10052,0.306580 0.299135 0.288914 0.280598 0.212704 0.173196 0.169579 0.161940 0.153071 0.149663
4363,3850 12886 1288 12206 14827 5148 14263 1499 14689 3860,0.374349 0.356556 0.356556 0.356556 0.334393 0.303037 0.299463 0.264643 0.228815 0.227724
4364,8064 478 2251 2477 13895 9148 2778 8658 6216 1584,0.659208 0.633947 0.561289 0.524083 0.504006 0.491040 0.458148 0.428950 0.386308 0.349567
4365,3958 13716 10634 9431 3950 4335 273 11285 3839 15125,0.452466 0.412839 0.354155 0.316340 0.307537 0.306507 0.279584 0.278684 0.276139 0.272814
4366,5065 5034 5029 5033 5067 5072 5073 8367 3104 800,0.974974 0.974974 0.964657 0.952117 0.945595 0.933943 0.919130 0.341345 0.247164 0.235019
4367,9379 7882 3950 9434 9432 10705 8062 4445 8400 9608,1.000000 0.678719 0.663378 0.628041 0.557942 0.510050 0.452913 0.439070 0.357575 0.339952
4368,713 2808 8640 2658 11689 9331 14002 7509 8820 11884,0.408426 0.395662 0.369602 0.343405 0.339029 0.338019 0.334537 0.326754 0.326484 0.324189
4369,5185 9648 5184 7646 1055 2693 10327 6195 10548 9217,0.946427 0.817563 0.664612 0.645318 0.529743 0.529743 0.529743 0.529743 0.522891 0.522410
4370,9926 12514 10341 10342 12132 10018 9046 2205 8503 9316,0.810610 0.734644 0.734644 0.734644 0.719767 0.606966 0.585587 0.581273 0.571698 0.569250
4371,3526 11248 11567 7349 2654 1264 5255 2981 4527 10969,0.378140 0.373012 0.311283 0.306302 0.305189 0.301404 0.288378 0.282186 0.278529 0.264957
4372,11967 617 13292 5909 4754 1792 12652 14134 14006 8032,0.573021 0.560689 0.456372 0.454903 0.417788 0.395636 0.385557 0.356396 0.344140 0.330132
4373,8570 11610 10205 12525 1026 5025 2205 4032 4375 15261,0.370250 0.365451 0.338324 0.333802 0.309152 0.302271 0.293224 0.282384 0.254681 0.249330
4374,9878 10552 3363 6834 4319 4324 2332 10737 695 11829,0.429437 0.409628 0.377559 0.366658 0.362499 0.360734 0.342082 0.294276 0.281375 0.248604
4375,8781 11610 12611 10219 3939 6533 12235 3759 12525 5960,0.491089 0.399621 0.388916 0.370761 0.339610 0.339598 0.335160 0.332691 0.326512 0.320304
4376,2350 345 9680 9528 10512 10877 12600 8729 8563 552,0.361812 0.355889 0.349733 0.337573 0.317097 0.315904 0.311693 0.311417 0.293059 0.285694
4377,5497 14499 9496 9360 11445 12087 5590 3841 8013 4744,0.370326 0.284756 0.266429 0.264977 0.253729 0.248012 0.234712 0.218500 0.210028 0.202492
4378,14874 9550 7027 9833 3964 10645 9720 14432 13949 21,0.446013 0.424669 0.424152 0.362284 0.347733 0.347435 0.344780 0.340315 0.315602 0.313195
