i,Title,Author,description,api_title,api_authors,api_source,api_query
2120,Olive /,"Cazot, Véronique","Olive / is a book by Cazot, Véronique. It is associated with the following themes: Bandes dessinées. The book is published by Dupuis.",,,Local metadata fallback,
2121,Pilules polonaises = Polskie pigułki = Polish pills /,"Vaucher, Fanny","Pilules polonaises = Polskie pigułki = Polish pills / is a book by Vaucher, Fanny. The book is published by Noir sur Blanc.",,,Local metadata fallback,
2122,Rester barbare /,"Yousfi, Louisa","« Je sens que j’ai tellement de choses à dire qu’il vaut mieux que je ne sois pas trop cultivé. Il faut que je garde une espèce de barbarie, il faut que je reste barbare. » Cet énoncé de Kateb Yacine, Louisa Yousfi l’entend comme une formule magique : à la fois mot d’ordre esthétique et fable politique, elle permet de convoquer ensemble Chester Himes, Toni Morrison, Booba, PNL et toute une cohorte ensauvagée à l’assaut de l’Empire.",Rester barbare,,Open Library ISBN -> Work,9782358722193
2123,Hong Kong : cité déchue /,"Lau, Kwong-shing","Hong Kong : cité déchue / is a book by Lau, Kwong-shing. It is associated with the following themes: Conditions sociales--Hong Kong (Chine), Politique et gouvernement--Hong Kong (Chine), Hong Kong (Chine, république populaire), Bandes dessinées, Récits personnels. The book is published by Rue de l'Echiquier.",,,Local metadata fallback,
2124,La désolation /,"Appollo, 1969-","La guerre fait rage et les deux membres du commando colonial Robillard et Rivière doivent rejoindre leur base avec des documents secrets. En plein océan Indien, leur avion se fait descendre. Ils se font capturer par un sous-marin allemand. L'aventure va les mener jusqu'aux Kerguelen.",Le loup gris de la désolation,Appollo,Open Library Search -> Work,title=La désolation; author=Appollo
2125,L'imprimerie des sorcières /,Mochinchi,L'imprimerie des sorcières / is a book by Mochinchi. It is associated with the following themes: Mangas. The book is published by Soleil.,,,Local metadata fallback,
2126,"Monde d'hier, monde de demain : un voyage à travers l'empire des Habsbourg et l'Union européenne /","Gruyter, Caroline de 1963-....","Caroline de Gruyter a vécu à Vienne. Comme tant d’autres, elle y a été frappée par la persistance dans la société, dans les esprits et dans la culture autrichiennes, de l’ancien empire habsbourgeois, un siècle après sa disparition. Elle s’est interrogée sur les causes de celle-ci et sur ses conséquences – un chaos qui a saisi les pays d’Europe centrale et dont les traces sont encore visibles aujourd’hui. Ensemble multilingue et multinational entouré de puissances rivales ou ennemies, l’empire austro-hongrois ressemblait à l’Union européenne. En quoi celle-ci mérite-t-elle l’appellation d’empire ? Et quels facteurs pourraient la faire éclater ? L’auteur a développé ces réflexions entre le Brexit et la pandémie, mais la crise ukrainienne actuelle leur donne une résonance prophétique.","Monde d’hier, monde de demain",,Open Library ISBN,9782330173746
2127,"La Syrie au-delà de la guerre : histoire, politique, société /","Tannous, Manon-Nour","La Syrie au-delà de la guerre : histoire, politique, société / is a book by Tannous, Manon-Nour. It is associated with the following themes: Syrie--Histoire, Syrie--2011-.... (Guerre civile). The book is published by Le Cavalier Bleu Éditions.",,,Local metadata fallback,
2128,In Summer /,"Ryul, Seong","In Summer / is a book by Ryul, Seong. The book is published by Le Lezard noir.",,,Local metadata fallback,
2129,Ils sont partout /,"Igounet, Valérie","Ils sont partout / is a book by Igounet, Valérie. It is associated with the following themes: Conspirationnisme, Manipulation (psychologie). The book is published by Les Arènes.",,,Local metadata fallback,
2130,La couleur des choses /,"Panchaud, Martin 1982-….","La couleur des choses / is a book by Panchaud, Martin 1982-….. It is associated with the following themes: Bandes dessinées.. The book is published by Çà et là.",,,Local metadata fallback,
2131,La petite mort /,"Mourier, Davy, 1976-","La Petite Mort a dû faire un terrible choix entre faucher son meilleur ami atteint d'une leucémie ou son chat. A-t-il fait le bon ? L'entrée au collège, univers impitoyable, va-t-elle remettre en question l'amitié, l'amour et l'existence des licornessirènes ? De toute façon, rien ne va se passer comme prévu car la famille Mort a... un squelette dans son placard. Le retour du héros culte de Davy Mourier !",La Petite Mort T02,Davy Mourier,Open Library Search -> Work,"title=La petite mort; author=Mourier, Davy"
2132,California dreamin' /,"Bagieu, Pénélope","""Before she was the legendary Mama Cass of the folk group The Mamas and the Papas, Ellen Cohen was a teen girl from Baltimore with an incredible voice, incredible confidence, and incredible dreams. She dreamed of being not just a singer but a star. Not just a star-- a superstar. So, at the age of nineteen, at the dawn of the sixties, Ellen left her hometown and became Cass Elliot. At her size, Cass was never going to be the kind of girl that record producers wanted on album covers. But she found an unlikely group of co-conspirators, and in their short time together this bizarre and dysfunctional band recorded some of the most memorable songs of their era. Through the whirlwind of drugs, war, love, and music, Cass struggled to keep sight of her dreams, of who she loved, andmost importantlywho she was.""--Amazon.",California dreamin',,Open Library ISBN -> Work,9782070657582
2133,Off : roman /,"Monnin, Philippe 1963?-....","Off : roman / is a book by Monnin, Philippe 1963?-..... It is associated with the following themes: Science-fiction. The book is published by Slatkine.",,,Local metadata fallback,
2134,Pilules bleues /,"Peeters, Frederik, 1974-","Pilules bleues / is a book by Peeters, Frederik, 1974-. It is associated with the following themes: HIV Infections, Acquired Immunodeficiency Syndrome, HIV Seropositivity, Infections à VIH--Patients, Enfants sidéens. The book is published by Atrabile.",,,Local metadata fallback,
2135,Un bruit étrange et beau /,"Zep, 1967-","Un bruit étrange et beau / is a book by Zep, 1967-. It is associated with the following themes: Contemplation (théologie), Bandes dessinées. The book is published by Rue de Sèvres.",,,Local metadata fallback,
2136,Ana & l'Entremonde /,"Dubuisson, Marc","Ana & l'Entremonde / is a book by Dubuisson, Marc. It is associated with the following themes: Bandes dessinées. The book is published by Glénat.",,,Local metadata fallback,
2137,L'art féministe en BD : femmes artistes pionnières dans la lutte pour l'égalité /,"Grande, Valentina","L'art féministe en BD : femmes artistes pionnières dans la lutte pour l'égalité / is a book by Grande, Valentina. It is associated with the following themes: Féministes, Femmes artistes, [Bandes dessinées]. The book is published by Eyrolles.",,,Local metadata fallback,
2138,Les heures de la nuit ne rattrapent jamais celles du jour /,"Caffin, Vanessa 1976-....","Les heures de la nuit ne rattrapent jamais celles du jour / is a book by Caffin, Vanessa 1976-..... The book is published by Editions de la Martinière.",,,Local metadata fallback,
2139,Hermès Baby /,"Bergh, Louise de 1994-....","Hermès Baby / is a book by Bergh, Louise de 1994-..... It is associated with the following themes: Roman suisse. The book is published by Editions Romann.",,,Local metadata fallback,
2140,Ma vie est tout à fait fascinante /,"Bagieu, Pénélope","Ma vie est tout à fait fascinante / is a book by Bagieu, Pénélope. It is associated with the following themes: Bandes dessinées. The book is published by Delcourt.",,,Local metadata fallback,
2141,Junk food : les dessous d'une addiction /,"Croque, Arthur journaliste 19..-....","Junk food : les dessous d'une addiction / is a book by Croque, Arthur journaliste 19..-..... It is associated with the following themes: Dietetics, Diet, Feeding Behavior, Food Addiction, Behavior, Addictive. The book is published by Casterman.",,,Local metadata fallback,
2142,Gunnm last order : édition originale /,"Kishiro, Yukito","Gunnm last order : édition originale / is a book by Kishiro, Yukito. It is associated with the following themes: Mangas. The book is published by Glénat.",,,Local metadata fallback,
2143,"Art queer : une théorie freak : Amanda Baggs, Pauline Boudry, Bob Flanagan, Felix Gonzalez-Torres, Sharon Hayes, Zoe Leonard, Henrik Olesen, Jack Smith, Shinique Smith, Wu Ingrid Tsang et Ron Vawter /","Lorenz, Renate","Art queer : une théorie freak : Amanda Baggs, Pauline Boudry, Bob Flanagan, Felix Gonzalez-Torres, Sharon Hayes, Zoe Leonard, Henrik Olesen, Jack Smith, Shinique Smith, Wu Ingrid Tsang et Ron Vawter / is a book by Lorenz, Renate. It is associated with the following themes: Art--1990-2020, Théorie queer--Dans l'art, Déconstruction--Dans l'art, Homosexualité et art, Théorie queer.. The book is published by B42.",,,Local metadata fallback,
2144,L'islam et la femme : rappel pour en finir avec les exagérations et les clichés /,"El Tibi, Zeina, 1954-","L'islam et la femme : rappel pour en finir avec les exagérations et les clichés / is a book by El Tibi, Zeina, 1954-. It is associated with the following themes: Femmes, Islam. The book is published by Desclée De Brouwer.",,,Local metadata fallback,
2145,Merel /,"Lodewick, Clara 1996-....","Merel / is a book by Lodewick, Clara 1996-..... It is associated with the following themes: Bandes dessinées. The book is published by Dupuis.",,,Local metadata fallback,
2146,Les vies de Charlie /,"Toussaint, Kid","Les vies de Charlie / is a book by Toussaint, Kid. It is associated with the following themes: Bandes dessinées. The book is published by Dupuis.",,,Local metadata fallback,
2147,Sur le pont : roman /,"Frossard, Charlotte 19..-....","Sur le pont : roman / is a book by Frossard, Charlotte 19..-..... The book is published by Editions Encre fraîche.",,,Local metadata fallback,
2148,Les furtifs /,"Damasio, Alain","Les furtifs / is a book by Damasio, Alain. It is associated with the following themes: Dystopies. The book is published by La Volte.",,,Local metadata fallback,
2149,Un féminisme décolonial /,"Vergès, Françoise","""Dans le débat public, être 'décolonial' est une infamie. Dans les universités, dans les partis de gauche et d'extrême gauche, les syndicats, les associations féministes, partout on traque une 'pensée décoloniale' infiltrée et funeste pour le vivre-ensemble. Dans ce livre, Françoise Vergès élucide l'objet du scandale. Le féminisme décolonial révèle les impensés de la bonne conscience blanche; il se situe du point de vue des femmes racisées: celles qui, travailleuses domestiques, nettoient le monde; il dénonce un capitalisme foncièrement racial et patriarcal. Ces pages incisives proposent un autre récit du féminisme et posent les questions qui fâchent: quelles alliances avec les femmes blanches? Quelle solidarité avec les hommes racisés? Quelles sont les premières vies menacées par le capitalisme racial? Pourquoi les néofascismes s'attaquent-ils aux femmes racisées? Ce livre est une invitation à renouer avec la puissance utopique du féminisme, c'est-à-dire avec un imaginaire à même de porter une transformation radicale de la société.""--",Un féminisme décolonial,,Open Library ISBN,9782358721745
2150,Nitrate : roman /,"Zufferey, Céline 1991-....","Nitrate : roman / is a book by Zufferey, Céline 1991-..... It is associated with the following themes: Roman suisse de langue française, Guy-Blaché, Alice. The book is published by Gallimard.",,,Local metadata fallback,
2151,"L'adversaire (2000), Emmanuel Carrère /","Oliver, Annie","L'adversaire (2000), Emmanuel Carrère / is a book by Oliver, Annie. It is associated with the following themes: Carrère, Emmanuel.--""L'adversaire""--[manuel]. The book is published by Hatier.",,,Local metadata fallback,
2152,L'adversaire /,"Carrère, Emmanuel","Le 9 janvier 1993, Jean-Claude Romand a tué sa femme, ses enfants, ses parents, puis tenté, mais en vain, de se tuer lui-même. L'enquête a révélé qu'il n'était pas médecin comme il le prétendait et, chose plus difficile encore à croire, qu'il n'était rien d'autre. Il mentait depuis dix-huit ans, et ce mensonge ne recouvrait rien. Près d'être découvert, il a préféré supprimer ceux dont il ne pouvait supporter le regard. Il a été condamné à la réclusion criminelle à perpétuité. Je suis entré en relation avec lui, j'ai assisté à son procès. J'ai essayé de raconter précisément, jour après jour, cette vie de solitude, d'imposture et d'absence. D'imaginer ce qui tournait dans sa tête au long des heures vides, sans projet ni témoin, qu'il était supposé passer à son travail et passait en réalité sur des parkings d'autoroute ou dans les forêts du jura. De comprendre, enfin, ce qui dans une expérience humaine aussi extrême m'a touché de si près et touche, je crois, chacun d'entre nous.",L' adversaire,Emmanuel Carrère,Open Library Search -> Work,"title=L'adversaire; author=Carrère, Emmanuel"
2153,L'invasion des imbéciles /,"Rivière, Tiphaine","L'invasion des imbéciles / is a book by Rivière, Tiphaine. It is associated with the following themes: Bandes dessinées. The book is published by Seuil.",,,Local metadata fallback,
2154,Les enfants de la baleine /,"Umeda, Abi","Les enfants de la baleine / is a book by Umeda, Abi. It is associated with the following themes: Écologisme, Seinen, Mangas. The book is published by Glénat.",,,Local metadata fallback,
2155,Sacrées sorcières /,"Dahl, Roald, 1916-1990","Sacrées sorcières / is a book by Dahl, Roald, 1916-1990. It is associated with the following themes: Bandes dessinées. The book is published by Gallimard.",,,Local metadata fallback,
2156,"Nausicaä, de la vallée du vent /","Miyazaki, Hayao","Nausicaä, de la vallée du vent / is a book by Miyazaki, Hayao. It is associated with the following themes: Mangas, Bandes dessinées. The book is published by Glénat.",,,Local metadata fallback,
2157,Je ne partirai pas : mon histoire est celle de la Palestine /,"Sabaaneh, Mohammad 1979-....","Je ne partirai pas : mon histoire est celle de la Palestine / is a book by Sabaaneh, Mohammad 1979-..... It is associated with the following themes: Bandes dessinées, Emprisonnement--Territoires occupés--1990-2020--Israël, Conditions sociales--1990-2020--Palestine (État). The book is published by Alifbata.",,,Local metadata fallback,
2158,Une existence sans précédent : roman /,"Fercak, Claire","Une existence sans précédent : roman / is a book by Fercak, Claire. The book is published by Verticales.",,,Local metadata fallback,
2159,Les parts oubliées /,"Wilkerson, Charmaine","Les parts oubliées / is a book by Wilkerson, Charmaine. It is associated with the following themes: Roman américain, Secrets de famille, Roman. The book is published by Buchet-Chastel.",,,Local metadata fallback,
2160,La Bhagavad Gîtâ ou L'art d'agir /,"Poggi, Colette","La Bhagavad Gîtâ ou L'art d'agir / is a book by Poggi, Colette. It is associated with the following themes: Bhagavad-gīta, Philosophie indienne, Hindouisme. The book is published by Equateurs.",,,Local metadata fallback,
2161,Bambine /,"Ceresa, Alice","Bambine / is a book by Ceresa, Alice. The book is published by G Einaudi.",,,Local metadata fallback,
2162,Scènes d'intérieur avec fillettes /,"Ceresa, Alice","Scènes d'intérieur avec fillettes / is a book by Ceresa, Alice. The book is published by Impr Slatkine; Ed Zoé.",,,Local metadata fallback,
2163,Nicolas Bouvier : au gré des géographies /,"Chollier, Alexandre","Nicolas Bouvier : au gré des géographies / is a book by Chollier, Alexandre. It is associated with the following themes: Bouvier, Nicolas, Biographie. The book is published by Paulsen.",,,Local metadata fallback,
2164,Montaigne en mouvement /,"Starobinski, Jean, 1920-","Montaigne en mouvement / is a book by Starobinski, Jean, 1920-. It is associated with the following themes: Montaigne, Michel de. The book is published by Gallimard.",,,Local metadata fallback,
2165,Vivre nu /,"Cassan, Margaux","Vivre nu / is a book by Cassan, Margaux. It is associated with the following themes: Nudisme. The book is published by Bernard Grasset.",,,Local metadata fallback,
2166,Le crépuscule d'une idole : l'affabulation freudienne /,"Onfray, Michel, 1959-","**Le Crépuscule d'une idole**, sous-titré *L’Affabulation freudienne*, est un essai de Michel Onfray sur Sigmund Freud dans les domaines de la psychanalyse et de l’épistémologie de la psychologie publié le 21 avril 2010 aux éditions Grasset.",Le crépuscule d'une idole,,Open Library ISBN -> Work,9782246769316
2167,Décadence : vie et mort du judéo-christianisme /,"Onfray, Michel, 1959-","""Chacun connaît les pyramides égyptiennes, les temples grecs, le forum romain et convient que ces traces de civilisations mortes prouvent... que les civilisations meurent, donc qu'elles sont mortelles ! Notre civilisation judéo-chrétienne vieille de deux mille ans n'échappe pas à cette loi. Du concept de Jésus, annoncé dans l'Ancien Testament et progressivement nourri d'images par des siècles d'art chrétien, à Ben Laden qui déclare la guerre à mort à notre Occident épuisé, c'est la fresque épique de notre civilisation que je propose ici. On y trouve : des moines fous du désert, des empereurs chrétiens sanguinaires, des musulmans construisant leur ""paradis à l'ombre des épées"", de grands inquisiteurs, des sorcières chevauchant des balais, des procès d'animaux, des Indiens à plumes avec Montaigne dans les rues de Bordeaux, la résurrection de Lucrèce, un curé athée qui annonce la mort de Dieu, une révolution jacobine qui tue deux rois, des dictatures de gauche puis de droite, des camps de la mort bruns et rouges, un artiste qui vend ses excréments, un écrivain condamné à mort pour avoir écrit un roman, deux jeunes garçons qui se réclament de l'islam et égorgent un prêtre en plein office, sans parler de mille autres choses... Ce livre n'est ni optimiste ni pessimiste, mais tragique car, à cette heure, il ne s'agit plus de rire ou de pleurer, mais de comprendre."" -- page [4] of cover.",Décadence,,Open Library ISBN,9782081380929
2168,Le carnet d'or : roman /,"Lessing, Doris","Le carnet d'or : roman / is a book by Lessing, Doris. The book is published by A Michel.",,,Local metadata fallback,
2169,Anthropologie du corps et modernité /,"Le Breton, David","Anthropologie du corps et modernité / is a book by Le Breton, David. It is associated with the following themes: corps humain--modernité--* anthropologie, Corps humain, Modernité, Ethnologie. The book is published by Presses universitaires de France.",,,Local metadata fallback,
2170,Lettres au Castor et à quelques autres /,"Sartre, Jean-Paul","Lettres au Castor et à quelques autres / is a book by Sartre, Jean-Paul. It is associated with the following themes: Beauvoir, Simone de--Sartre, Jean-Paul--[correspondance]. The book is published by Gallimard.",,,Local metadata fallback,
2171,Après tout /,"Forest, Philippe","Après tout / is a book by Forest, Philippe. It is associated with the following themes: Forest, Philippe, Entretiens. The book is published by Humensis; PUF.",,,Local metadata fallback,
2172,Situations /,"Sartre, Jean-Paul","""Situations III, published in English for the first time in the form that Sartre himself gave to the collection, contains essays from the philosopher's most creative period, 1945-49. The first section, comprising articles written at the end of World War II and published variously in Paris, New York and London, conveys Sartre's immediate post-War reflections on collaboration, resistance and liberation. Part Two brings together the most telling of the pieces that reflect his long trip to the USA in January-May 1945. After a lucid philosophical exposition of the failings of philosophical materialism in Part Three, Sartre focuses in the fourth section on the new revolutionary poetry of 'Negritude' in the famous long essay 'Black Orpheus'. Part Five is devoted to meditations on the visual arts, with penetrating essays on the work of Alberto Giacometti and Alexander Calder, both of whom Sartre knew well.""--Dust jacket.",The aftermath of war (Situations III),Jean-Paul Sartre,Open Library Search -> Work,"title=Situations; author=Sartre, Jean-Paul"
2173,Lectures de Sartre /,,"Lectures de Sartre / is a book from the catalog. It is associated with the following themes: Sartre, Jean-Paul--[études diverses]. The book is published by Ellipses.",,,Local metadata fallback,
2174,Oeuvres complètes / quelques aspects de l'écrivain ;,"Gracq, Julien, 1910-2007","Oeuvres complètes / quelques aspects de l'écrivain ; is a book by Gracq, Julien, 1910-2007. The book is published by Gallimard.",,,Local metadata fallback,
2175,Les mots : et autres écrits autobiographiques /,"Sartre, Jean-Paul","Les mots : et autres écrits autobiographiques / is a book by Sartre, Jean-Paul. The book is published by Gallimard.",,,Local metadata fallback,
2176,Un tout autre Sartre : essai /,"Noudelmann, François","Un tout autre Sartre : essai / is a book by Noudelmann, François. It is associated with the following themes: Sartre, Jean-Paul, Biographie. The book is published by Gallimard.",,,Local metadata fallback,
2177,Jean-Paul Sartre : politique et culture dans la France de l'après-guerre /,"Scriven, Michael","Jean-Paul Sartre : politique et culture dans la France de l'après-guerre / is a book by Scriven, Michael. It is associated with the following themes: Sartre, Jean-Paul, culture--politique--France--20e s. (2e moitié). The book is published by La chasse au snark.",,,Local metadata fallback,
2178,Mémoires /,"Beauvoir, Simone de 1908-1986","A superb autobiography by one of the great literary figures of the twentieth century, Simone de Beauvoir's Memoirs of a Dutiful Daughter offers an intimate picture of growing up in a bourgeois French family, rebelling as an adolescent against the conventional expectations of her class, and striking out on her own with an intellectual and existential ambition exceedingly rare in a young woman in the 1920s. She vividly evokes her friendships, love interests, mentors, and the early days of the most important relationship of her life, with fellow student Jean-Paul Sartre, against the backdrop of a turbulent political time.",Mémoires d'une jeune fille rangée,Simone de Beauvoir,Open Library Search -> Work,"title=Mémoires; author=Beauvoir, Simone de"
2179,"Introduction au surréalisme : poésie, roman, théâtre /","Forest, Philippe","Introduction au surréalisme : poésie, roman, théâtre / is a book by Forest, Philippe. It is associated with the following themes: surréalisme. The book is published by Vuibert.",,,Local metadata fallback,
2180,Oeuvres complètes /,"Breton, André, 1896-1966","Oeuvres complètes / is a book by Breton, André, 1896-1966. The book is published by Gallimard.",,,Local metadata fallback,
2181,"Sartre et ""Les temps modernes"" : une entreprise intellectuelle /","Boschetti, Anna","Sartre et ""Les temps modernes"" : une entreprise intellectuelle / is a book by Boschetti, Anna. It is associated with the following themes: Sartre, Jean-Paul--""Les temps modernes"" (revue), engagement intellectuel--Sartre, Jean-Paul. The book is published by Ed de Minuit.",,,Local metadata fallback,
2182,Romans et récits /,"Bataille, Georges","Romans et récits / is a book by Bataille, Georges. The book is published by Gallimard.",,,Local metadata fallback,
2183,Le surréalisme par les textes /,"Béhar, Henri","Le surréalisme par les textes / is a book by Béhar, Henri. It is associated with the following themes: Surréalisme (littérature), Surréalisme (art), [Ouvrages de référence]. The book is published by Classiques Garnier.",,,Local metadata fallback,
2184,Turquie : un pont entre deux mondes /,"Ersan Berdoz, Zeynep","Turquie : un pont entre deux mondes / is a book by Ersan Berdoz, Zeynep. It is associated with the following themes: Turquie. The book is published by Nevicata.",,,Local metadata fallback,
2185,Hypericon /,"Fior, Manuele, 1975-","Hypericon / is a book by Fior, Manuele, 1975-. It is associated with the following themes: Bandes dessinées. The book is published by Dargaud.",,,Local metadata fallback,
2186,Une écologie décoloniale : penser l'écologie depuis le monde caribéen /,"Ferdinand, Malcom, 1985-","Une écologie décoloniale : penser l'écologie depuis le monde caribéen / is a book by Ferdinand, Malcom, 1985-. It is associated with the following themes: Postcolonialisme--Antilles, Écologie--Antilles, Écologie humaine--Antilles, Sociologie de l'environnement, Décolonialité--Aspect environnemental. The book is published by Ed du Seuil.",,,Local metadata fallback,
2187,Deep me /,"Mathieu, Marc-Antoine 1959-....","Deep me / is a book by Mathieu, Marc-Antoine 1959-..... It is associated with the following themes: Bandes dessinées. The book is published by Editions Delcourt.",,,Local metadata fallback,
2188,La révolution des fourmis /,"Crelerot, Kevin 1988-....","La révolution des fourmis / is a book by Crelerot, Kevin 1988-..... It is associated with the following themes: Fourmis, Bandes dessinées. The book is published by Cavin SA; Editions Pépitesclub.",,,Local metadata fallback,
2189,Le mari de mon frère /,"Tagame, Gengorō","Le mari de mon frère / is a book by Tagame, Gengorō. It is associated with the following themes: Homoparentalité, Homosexualité, Homophobie, Bandes dessinées, Ouvrages pour la jeunesse. The book is published by Akata.",,,Local metadata fallback,
2190,Demain les chats /,"Werber, Bernard","Demain les chats / is a book by Werber, Bernard. It is associated with the following themes: [Bandes dessinées]. The book is published by Albin Michel.",,,Local metadata fallback,
2191,Issunboshi : le petit samouraï /,"Lang, Ryan","Issunboshi : le petit samouraï / is a book by Lang, Ryan. It is associated with the following themes: Bandes dessinées. The book is published by Le Lombard.",,,Local metadata fallback,
2192,L'homme qui voulut être roi /,"Derrien, Jean-Christophe","L'homme qui voulut être roi / is a book by Derrien, Jean-Christophe. It is associated with the following themes: Bandes dessinées. The book is published by Glénat.",,,Local metadata fallback,
2193,La mécanique des vides /,Zéphir 1992-....,"La mécanique des vides / is a book by Zéphir 1992-..... It is associated with the following themes: Environnement., Bandes dessinées.. The book is published by Futuropolis.",,,Local metadata fallback,
2194,Nos corps lumineux : roman /,"Gloukhova, Aliona, 1984-.....","Nos corps lumineux : roman / is a book by Gloukhova, Aliona, 1984-...... It is associated with the following themes: Roman français--2000-..... The book is published by Verticales.",,,Local metadata fallback,
2195,Bivouac : roman /,"Filteau-Chiba, Gabrielle","Bivouac : roman / is a book by Filteau-Chiba, Gabrielle. It is associated with the following themes: Roman canadien de langue française. The book is published by Stock.",,,Local metadata fallback,
2196,"Oulala ! : vocabulaire, grammaire, communication : A1 /","Vermurie, Valérie 1983-....","Oulala ! : vocabulaire, grammaire, communication : A1 / is a book by Vermurie, Valérie 1983-..... It is associated with the following themes: Français langue étrangère, Manuels pour allophones, Problèmes et exercices. The book is published by Le Français pour adultes.",,,Local metadata fallback,
2197,Scholomance /,"Novik, Naomi","Scholomance / is a book by Novik, Naomi. The book is published by Pygmalion.",,,Local metadata fallback,
2198,Slava /,"Gomont, Pierre-Henry 1978-....","Slava / is a book by Gomont, Pierre-Henry 1978-..... It is associated with the following themes: Bandes dessinées. The book is published by Dargaud Benelux.",,,Local metadata fallback,
2199,Fleur de Prunier /,Maou 1989-....,"Fleur de Prunier / is a book by Maou 1989-..... It is associated with the following themes: Adoption--Chine--Année 1990, Bandes dessinées. The book is published by Antipodes.",,,Local metadata fallback,
2200,Femme vie liberté /,,"Femme vie liberté / is a book from the catalog. It is associated with the following themes: Bandes dessinées, Femmes--Conditions sociales--Iran--2000-...., Féminisme--Iran--2000-...., Liberté d'expression--Iran--2000-..... The book is published by L'Iconoclaste.",,,Local metadata fallback,
2201,Vierges : la folle histoire de la virginité /,"Thiébaut, Elise","Vierges : la folle histoire de la virginité / is a book by Thiébaut, Elise. It is associated with the following themes: Virginité, Défloration. The book is published by Le Lombard.",,,Local metadata fallback,
2202,Bleu à la lumière du jour /,"González, Borja 1982-","Bleu à la lumière du jour / is a book by González, Borja 1982-. It is associated with the following themes: Bandes dessinées. The book is published by Dargaud.",,,Local metadata fallback,
2203,Look back /,"Fujimoto, Tatsuki","Look back / is a book by Fujimoto, Tatsuki. It is associated with the following themes: Dessin, Édition, Confiance en soi, Mangas. The book is published by Kazé.",,,Local metadata fallback,
2204,Anthology /,"Asano, Inio, 1980-","Anthology / is a book by Asano, Inio, 1980-. It is associated with the following themes: Mangas. The book is published by Kana.",,,Local metadata fallback,
2205,La République /,"Harambat, Jean","La République / is a book by Harambat, Jean. It is associated with the following themes: Bandes dessinées. The book is published by Philosophie magazine éditeur.",,,Local metadata fallback,
2206,Et à la fin ils meurent : la sale vérité sur les contes de fées /,"Lubie, Lou","Et à la fin ils meurent : la sale vérité sur les contes de fées / is a book by Lubie, Lou. It is associated with the following themes: Contes de fées, Bandes dessinées. The book is published by Delcourt.",,,Local metadata fallback,
2207,"Tristesse, peur, colère : agir sur ses émotions /","Hahusseau, Stéphanie","Tristesse, peur, colère : agir sur ses émotions / is a book by Hahusseau, Stéphanie. It is associated with the following themes: émotion--* psychologie--[guide]. The book is published by O Jacob.",,,Local metadata fallback,
2208,La mémoire de l'eau /,"Cowley Heller, Miranda 1962-....","La mémoire de l'eau / is a book by Cowley Heller, Miranda 1962-..... It is associated with the following themes: Roman américain--2000-....--Traductions françaises. The book is published by Les Presses de la Cité.",,,Local metadata fallback,
2209,Les magiciens /,"Jardin, Alexandre","Les magiciens / is a book by Jardin, Alexandre. It is associated with the following themes: Réalisation de soi, Bonheur. The book is published by Albin Michel.",,,Local metadata fallback,
2210,Suis-je hypersensible ? : enquête sur un pouvoir méconnu /,"Midal, Fabrice","Suis-je hypersensible ? : enquête sur un pouvoir méconnu / is a book by Midal, Fabrice. It is associated with the following themes: Hypersensibilité (psychologie), Émotions, Réalisation de soi. The book is published by Versilio; Flammarion.",,,Local metadata fallback,
2211,"Où es-tu, monde admirable ? /","Rooney, Sally","Où es-tu, monde admirable ? / is a book by Rooney, Sally. The book is published by Editions de l'Olivier.",,,Local metadata fallback,
2212,Portez-vous bien : 69 chroniques /,"Bacquet, Rodolphe","Portez-vous bien : 69 chroniques / is a book by Bacquet, Rodolphe. The book is published by Total Santé SA.",,,Local metadata fallback,
2213,L'ombre de nos nuits /,"Josse, Gaëlle, 1960-","L'ombre de nos nuits / is a book by Josse, Gaëlle, 1960-. The book is published by Noir sur Blanc.",,,Local metadata fallback,
2214,Une nouvelle voie pour guérir : regarder la vie positivement /,"Benhaïem, Jean-Marc","Une nouvelle voie pour guérir : regarder la vie positivement / is a book by Benhaïem, Jean-Marc. It is associated with the following themes: Médecine psychosomatique, Santé--Aspect psychologique. The book is published by O Jacob.",,,Local metadata fallback,
2215,Apprendre à faire l'amour /,"Lacroix, Alexandre","Apprendre à faire l'amour / is a book by Lacroix, Alexandre. It is associated with the following themes: Relations sexuelles--Philosophie, Amour.. The book is published by Allary Editions.",,,Local metadata fallback,
2216,Les gens sont beaux /,"Beaulieu, Baptiste 1985-....","Les gens sont beaux / is a book by Beaulieu, Baptiste 1985-..... It is associated with the following themes: Ouvrages pour la jeunesse, Différence (philosophie), Acceptation de soi, Livres d'images. The book is published by Les Arènes.",,,Local metadata fallback,
2217,"Allez, courage ! : petit traité de l'ardeur /","Richemont, Blanche de 1978-....","Allez, courage ! : petit traité de l'ardeur / is a book by Richemont, Blanche de 1978-..... It is associated with the following themes: Courage. The book is published by Presses de la Cité.",,,Local metadata fallback,
